"","n_rep","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","sd_env","phi","sd_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"110",10,145,0.466202539950609,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.4653793103448,11.0536206896552,27.519
"111",11,127,0.366359361261129,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.1521653543307,9.08183464566929,24.234
"112",12,107,0.662605753727257,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.3039065420561,6.69609345794393,21
"113",13,133,0.380340410582721,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.7052030075188,11.2947969924812,25
"114",14,97,0.739152986370027,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.2392577319588,8.76074226804124,27
"115",15,138,0.672577812336385,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.1744347826087,9.8255652173913,27
"116",16,132,0.621894804760814,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.1889393939394,8.81306060606061,25.002
"117",17,148,0.7270926265046,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.049,8.959,26.008
"118",18,72,0.694728768803179,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.0536388888889,6.94636111111111,24
"119",19,109,0.686402137205005,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.7453302752294,7.41466972477064,25.16
"120",20,64,0.568718022853136,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.239265625,6.116734375,20.356
"121",21,104,0.752492902427912,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.8585384615385,11.1754615384615,29.034
"122",22,137,0.551212577149272,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.0181094890511,6.9818905109489,23
"123",23,130,0.764781037718058,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.3183076923077,7.68169230769231,25
"124",24,81,0.403540057130158,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,19.1734814814815,7.82651851851852,27
"125",25,77,0.541800751723349,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.7605714285714,8.37642857142857,23.137
"126",26,96,0.566309939883649,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.2497604166667,10.5442395833333,26.794
"127",27,141,0.395484453998506,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.5062907801418,10.3037092198582,24.81
"128",28,89,0.559273704513907,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.4870561797753,10.5129438202247,29
"129",29,138,0.819190763495863,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.1760869565217,10.5429130434783,25.719
"130",30,52,0.754711551591754,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.8040192307692,8.19598076923077,22
"131",31,137,0.842753963172436,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.2822116788321,10.7177883211679,28
"132",32,138,0.119556679390371,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,11.6957463768116,13.3042536231884,25
"133",33,109,0.745919157937169,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.4896513761468,6.51034862385321,20
"134",34,77,0.679858558438718,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.4800779220779,7.51992207792208,25
"135",35,58,0.307425968907774,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,12.4635,8.6315,21.095
"136",36,101,0.568821906298399,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.9605742574257,10.0394257425743,26
"137",37,108,0.429841719195247,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.2134259259259,9.78657407407407,26
"138",38,93,0.50783841535449,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.5323548387097,10.2406451612903,25.773
